Player Name,Position,Type,Wins,Losses,Overtime Losses,Points,Goals,Assists,+/-,Shots,Hits,Penalty Minutes,Faceoff %,Shot %,Takeaways,Giveaways,Blocks,Shots Against,Save %,Goals Against,Saves,GAA,Games Played,Points Per Game,Win %
Zozpekt1,Right Wing,RW,16,22,1,64,26,38,-32,159,79,77:00,35.7,16.4,82,377,6,0,0,0,0,0,39,1.641025641025641,0.41025641025641024
Dragonskull69,Goalie,G,16,5,3,0,0,0,0,0,0,0:00,0,0,0,0,0,296,0.811,56,240,2.26,24,0,0.6666666666666666
JRush,Right Defense,RD,1,3,2,7,0,7,-10,3,6,6:00,0,0,17,58,14,0,0,0,0,0,6,1.1666666666666667,0.16666666666666666
Fck_itsbingey,Left Wing,LW,54,40,4,266,121,145,34,385,245,104:00,100,31.4,247,1139,18,0,0,0,0,0,98,2.7142857142857144,0.5510204081632653
Kingryguy,Right Wing,RW,28,42,4,213,106,107,-47,373,165,34:00,35.8,28.4,153,822,37,0,0,0,0,0,74,2.8783783783783785,0.3783783783783784
Diogo_723,Right Wing,RW,17,20,3,93,47,46,-18,165,87,46:00,46.4,28.5,107,509,14,0,0,0,0,0,40,2.325,0.425
Apexpereira,Right Defense,RD,8,2,2,17,0,17,22,7,19,16:00,0,0,28,60,11,0,0,0,0,0,12,1.4166666666666667,0.6666666666666666
DreamzVIL,Goalie,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Matarazzo1738,Right Wing,RW,2,10,0,31,17,14,-24,51,11,8:00,37.5,33.3,33,115,3,0,0,0,0,0,12,2.5833333333333335,0.16666666666666666
Bob_De_Lion,Right Wing,RW,4,7,1,23,11,12,-11,48,44,20:00,20,22.9,20,79,0,0,0,0,0,0,12,1.9166666666666667,0.3333333333333333
Tml_duff,Goalie,G,0,1,0,0,0,0,0,0,0,0:00,0,0,0,0,0,23,0.565,10,13,10,1,0,0
Heavyarms97,Goalie,G,26,67,9,0,0,0,0,0,0,0:00,0,0,0,0,0,1822,0.741,472,1350,4.53,102,0,0.2549019607843137
Silent_Rocker30,Right Defense,RD,38,24,4,51,4,47,18,57,60,78:00,100,7,203,436,14,0,0,0,0,0,66,0.7727272727272727,0.5757575757575758
Mattybcanucks,Right Wing,RW,32,48,8,164,95,69,-39,321,68,74:00,39.8,29.6,162,657,7,0,0,0,0,0,88,1.8636363636363635,0.36363636363636365
sugarcoatz,Right Defense,RD,109,125,23,146,7,139,-48,172,941,188:00,100,4.1,763,1064,85,0,0,0,0,0,257,0.5680933852140078,0.42412451361867703
PKEXCLUSIVE34,Right Wing,RW,7,6,1,41,21,20,4,71,29,8:00,60,29.6,24,201,2,0,0,0,0,0,14,2.9285714285714284,0.5
Liquiduzs,Left Wing,LW,16,17,3,61,29,32,-38,162,84,18:00,0,17.9,58,352,12,0,0,0,0,0,36,1.6944444444444444,0.4444444444444444
Rick_F_73,Right Defense,RD,43,25,10,65,9,56,5,69,177,55:00,100,13,185,438,86,0,0,0,0,0,78,0.8333333333333334,0.5512820512820513
D0wn1nSm0ke,Goalie,G,4,6,0,0,0,0,0,0,0,0:00,0,0,0,0,0,167,0.76,40,127,3.96,10,0,0.4
CookedMegaToast,Center,C,52,40,7,219,90,129,28,354,289,77:00,52.8,25.4,240,910,41,0,0,0,0,0,99,2.212121212121212,0.5252525252525253
Fedorov91x,Goalie,G,150,173,29,0,0,0,-5,0,0,0:00,0,0,0,0,0,5952,0.787,1265,4687,3.51,352,0,0.42613636363636365
eddropedro101,Right Defense,RD,19,20,0,19,4,15,-2,60,60,38:00,0,6.7,86,230,7,0,0,0,0,0,39,0.48717948717948717,0.48717948717948717
worf26,Goalie,G,71,41,7,0,0,0,0,0,0,0:00,0,0,0,0,0,1546,0.804,303,1243,2.52,119,0,0.5966386554621849
GunnarWulf,Left Wing,LW,44,29,8,156,80,76,-2,285,245,52:00,100,28.1,201,825,15,0,0,0,0,0,81,1.9259259259259258,0.5432098765432098
Helmy613,Right Wing,RW,1,3,1,2,2,0,-4,18,14,0:00,60,11.1,10,48,0,0,0,0,0,0,5,0.4,0.2
bk_theMan,Right Wing,RW,1,5,0,9,5,4,-21,21,13,2:00,18.2,23.8,9,61,2,0,0,0,0,0,6,1.5,0.16666666666666666
xsend-it_519x,Right Defense,RD,15,26,6,39,7,32,-76,48,100,80:00,0,14.6,125,111,87,0,0,0,0,0,47,0.8297872340425532,0.3191489361702128
MachineGunLange,Left Defense,LD,23,12,4,35,6,29,27,37,75,47:00,0,16.2,92,208,34,0,0,0,0,0,39,0.8974358974358975,0.5897435897435898
newfieginger,Goalie,G,13,19,3,0,0,0,0,0,0,0:00,0,0,0,0,0,540,0.757,131,409,3.64,35,0,0.37142857142857144
Kitten_Mittons_0,Center,C,8,13,3,28,11,17,-39,62,38,8:00,49.1,17.7,62,166,37,0,0,0,0,0,24,1.1666666666666667,0.3333333333333333
slinger510,Left Defense,LD,22,27,4,55,11,44,5,56,136,42:00,0,19.6,144,348,59,0,0,0,0,0,53,1.0377358490566038,0.41509433962264153
