Player Name,Position,Type,Wins,Losses,Overtime Losses,Points,Goals,Assists,+/-,Shots,Hits,Penalty Minutes,Faceoff %,Shot %,Takeaways,Giveaways,Blocks,Shots Against,Save %,Goals Against,Saves,GAA,Games Played,Points Per Game,Win %
FrostMetroid,Right Wing,Official,21,31,6,100,41,59,-79,211,139,67:00,45.8,19.4,121,473,40,0,0,0,0,0,58,1.7241379310344827,0.3620689655172414
Uncle_hacksaw,Left Defense,Official,79,32,14,110,18,92,78,134,222,143:00,0,13.4,318,938,20,0,0,0,0,0,125,0.88,0.632
BakonBlitz,Center,Official,1,1,1,2,0,2,-6,8,19,6:00,0,0,7,3,6,0,0,0,0,0,3,0.6666666666666666,0.3333333333333333
muted-nobody2,Goalie,Official,7,4,1,0,0,0,0,0,0,0:00,0,0,0,0,0,157,0.815,29,128,2.35,12,0,0.5833333333333334
KarlKruz,Right Defense,Official,57,50,8,201,78,123,16,246,552,103:00,43.9,31.7,273,923,68,0,0,0,0,0,115,1.7478260869565216,0.4956521739130435
Dont_Stop_Meow,Right Defense,Official,17,19,4,67,35,32,-29,128,48,18:00,47.6,27.3,84,281,44,0,0,0,0,0,40,1.675,0.425
Ernie_Adams,Left Wing,Official,21,53,6,104,47,57,-130,263,284,116:00,34.4,17.9,212,689,13,9,0.889,1,8,0.01,80,1.3,0.2625
Whiter_66,Center,Official,5,14,1,34,16,18,-23,57,33,20:00,53.4,28.1,48,172,20,0,0,0,0,0,20,1.7,0.25
youngguns5522,Goalie,Official,51,22,8,123,8,115,82,56,160,59:00,0,14.3,208,579,86,0,0,0,0,0,81,1.5185185185185186,0.6296296296296297
xFATDTCKx,Goalie,Official,55,54,7,129,62,67,-26,258,184,76:00,44.5,24,158,628,12,742,0.799,149,593,1.27,116,1.1120689655172413,0.47413793103448276
DirtyDangler82,Right Wing,Official,24,48,3,183,107,76,-96,349,98,75:00,26.9,30.7,201,961,30,0,0,0,0,0,75,2.44,0.32
GreasyBenito,Left Defense,Official,9,13,0,20,1,19,-28,13,33,34:00,0,7.7,55,87,24,0,0,0,0,0,22,0.9090909090909091,0.4090909090909091
BHwy1100,Right Defense,Official,14,8,3,17,0,17,14,17,70,20:00,0,0,95,141,27,0,0,0,0,0,25,0.68,0.56
Jnewts8,Left Wing,Official,4,4,3,21,14,7,-8,39,20,20:00,100,35.9,26,115,2,0,0,0,0,0,11,1.9090909090909092,0.36363636363636365
Co-Kane88,Center,Official,36,54,15,231,118,113,-106,403,380,155:00,49.4,29.3,267,1283,25,0,0,0,0,0,105,2.2,0.34285714285714286
SauceShow709,Left Wing,Official,89,64,11,364,123,241,18,596,135,197:00,47.6,20.6,407,1793,28,0,0,0,0,0,164,2.2195121951219514,0.5426829268292683
TWild10,Center,Official,16,6,2,69,36,33,7,100,60,41:00,54.7,36,49,271,5,0,0,0,0,0,24,2.875,0.6666666666666666
BenchBoss67,Left Wing,Official,12,58,7,63,35,28,-230,230,290,110:00,36.1,15.2,108,508,0,0,0,0,0,0,77,0.8181818181818182,0.15584415584415584
Cyrus1092,Center,Official,12,34,3,57,26,31,-72,114,128,36:00,28.7,22.8,101,455,5,0,0,0,0,0,49,1.163265306122449,0.24489795918367346
Salter19,Left Wing,Official,9,20,5,59,36,23,-49,182,124,34:00,0,19.8,77,357,18,0,0,0,0,0,34,1.7352941176470589,0.2647058823529412
BUD_WEIS_ER_19,Goalie,Official,48,45,8,2,0,2,-1,5,17,6:00,100,0,4,15,0,1699,0.811,321,1378,3.06,101,0.019801980198019802,0.4752475247524752
Traz615,Center,Official,47,47,6,194,69,125,-12,433,204,126:00,54.3,15.9,310,893,54,0,0,0,0,0,100,1.94,0.47
Bigajd09,Right Defense,Official,39,79,9,42,12,30,-124,100,174,54:00,47.9,12,179,429,9,1029,0.745,262,767,2.06,127,0.33070866141732286,0.30708661417322836
vZaire-,Left Wing,Official,28,68,4,194,104,90,-129,479,132,148:00,46.1,21.7,173,1113,6,0,0,0,0,0,100,1.94,0.28
ImmuneHen,Goalie,Official,71,23,11,0,0,0,0,0,0,0:00,0,0,0,0,0,1399,0.794,288,1111,2.62,105,0,0.6761904761904762
lil_Bert59,Center,Official,24,16,5,116,56,60,27,198,66,18:00,48.6,28.3,132,397,17,0,0,0,0,0,45,2.577777777777778,0.5333333333333333
gbdrumify,Right Defense,Official,7,7,0,14,7,7,-16,31,34,8:00,31.3,22.6,22,105,5,26,0.885,3,23,0.2,14,1,0.5
Jevaxx,Right Defense,Official,77,67,12,298,159,139,-9,707,232,92:00,39.5,22.5,377,1587,23,0,0,0,0,0,156,1.9102564102564104,0.4935897435897436
Careym,Goalie,Official,72,79,13,0,0,0,0,0,0,0:00,0,0,0,0,0,2759,0.771,631,2128,3.75,164,0,0.43902439024390244
Heatshow19,Right Wing,Official,42,39,9,204,93,111,-16,286,106,38:00,49.3,32.5,194,607,65,0,0,0,0,0,90,2.2666666666666666,0.4666666666666667
Sweat2hard_68,Right Wing,Official,68,117,11,361,180,185,-283,756,208,256:00,26.3,23.8,450,1920,8,0,0,0,0,0,196,1.8418367346938775,0.3469387755102041
Richardson47,Center,Official,11,11,4,50,20,30,-32,84,88,38:00,46.3,23.8,52,275,21,0,0,0,0,0,26,1.9230769230769231,0.4230769230769231
Pocosniper,Left Wing,Official,1,10,0,11,4,7,-34,11,12,12:00,0,36.4,29,125,5,0,0,0,0,0,11,1,0.09090909090909091
trott1er7,Right Wing,Official,0,2,1,2,0,2,-20,5,8,7:00,51.5,0,7,6,7,0,0,0,0,0,3,0.6666666666666666,0
Sheldog7704,Goalie,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
IzzBot_,Center,Official,95,50,6,167,54,113,112,264,354,116:00,53.8,20.5,365,985,7,415,0.708,121,294,0.79,151,1.1059602649006623,0.6291390728476821
